category,type,joke,flags_nsfw,flags_political,flags_sexist,safe,lang
Pun,twopart,Did you hear about the claustrophobic astronaut? ... He just needed a little space.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"Life's like my dick. ... The more children you have, the harder it gets.",TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"What is the difference between the Constitutions of the USA and the USSR? Don't both of them guarantee freedom of speech? ... Yes, but the Constitution of the USA also guarantees freedom after the speech.",FALSE,TRUE,FALSE,FALSE,en
Programming,single,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What does a woman's pussy and a chainsaw have in common? ... Miss by a few inches and you're in deep shit.,TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why does no one like SQLrillex? ... He keeps dropping the database.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I told my wife to shave her pussy. ... I woke up bald.,TRUE,FALSE,FALSE,FALSE,en
Dark,single,"Doctor: ""I have some news about your baby.""
Parents: ""Don't tell us the gender, we want to keep it a surprise.""
Doctor: ""Oh I get it, you're those type of people. Okay, well IT is not breathing.""",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,"I'm thinking of setting up a comedy group to help people going through cancer treatment. ... I'll call it ""A Sense of Tumor"".",TRUE,FALSE,FALSE,FALSE,en
Christmas,twopart,What kind of motorbike does Santa ride? ... A Holly Davidson!,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How many programmers does it take to screw in a light bulb? ... None. It's a hardware problem.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why do Africans have dark skin? ... It's easier to commit crimes at night.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,Your mama's so FAT she can't save files bigger than 4GB.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,"What's the most notable similarity between a pedophile and a roller coaster? ... They both make a child scream, but the first ride's never the last",TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"How much did your chimney cost? ... Nothing, it was on the house.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the database administrator leave his wife? ... She had one-to-many relationships.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do programmers confuse Halloween and Christmas? ... Because Oct 31 = Dec 25,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Hey baby I wish your name was asynchronous... ... ... so you'd give me a callback.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My girlfriend's dog died, so I tried to cheer her up by getting her an identical one. It just made her more upset. She screamed at me, ""What am I supposed to do with two dead dogs?""",FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I have these weird muscle spasms in my gluteus maximus.
I figured out from my doctor that everything was alright:
He said ""Weird flex, butt okay.""",FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!",FALSE,FALSE,FALSE,FALSE,en
Christmas,twopart,Why does Santa go down the chimney? ... Because it soots him!,FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,What does Santa suffer from if he gets stuck in a chimney? ... Claustrophobia!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,I told my psychiatrist I got suicidal tendencies. ... He said from now on I have to pay in advance.,FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I have these weird muscle spasms in my gluteus maximus.
I figured out from my doctor that everything was alright:
He said ""Weird flex, butt okay.""",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,.NET developers are picky when it comes to food. ... They only like chicken NuGet.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What time did the man go to the dentist? ... Tooth hurt-y.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"If Bill Gates had a dime for every time Windows crashed ... Oh wait, he does.",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,What kind of motorbike does Santa ride? ... A Holly Davidson!,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How can you tell an extroverted programmer? ... He looks at YOUR shoes when he's talking.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the programmer jump on the table? ... Because debug was on his screen.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"I won the lottery today! ... Well, I only got the first two numbers, but my lawyers are working on having them stop the count.",FALSE,TRUE,FALSE,FALSE,en
Programming,twopart,How many programmers does it take to screw in a light bulb? ... None. It's a hardware problem.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Do you know what killed the man who had a two ton pumpkin fall on him? ... He was squashed.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"I don't know where I stand on abortion. I like killing babies, but I don't like giving women a choice.",TRUE,FALSE,TRUE,FALSE,en
Programming,single,"Judge: ""I sentence you to the maximum punishment...""
Me (thinking): ""Please be death, please be death...""
Judge: ""Learn Java!""
Me: ""Damn.""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I'm sure good looking lesbians look at fat lesbians and give them no chance. ... Until they see their fingers.,TRUE,FALSE,FALSE,FALSE,en
Dark,single,"Doctor: ""I have some news about your baby.""
Parents: ""Don't tell us the gender, we want to keep it a surprise.""
Doctor: ""Oh I get it, you're those type of people. Okay, well IT is not breathing.""",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What did the customer say to the waiter? ... I'm all fed up with your service.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,How do you make holy water? You boil the hell out of it.,FALSE,FALSE,FALSE,FALSE,en
Misc,single,"Yo mama is so old, she knew Burger King while he was still a prince.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the Python data scientist get arrested at customs? ... She was caught trying to import pandas!,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,What does a turkey dress up as for Halloween? ... A gobblin'!,FALSE,FALSE,FALSE,TRUE,en
Misc,single,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.,FALSE,FALSE,FALSE,FALSE,en
Misc,single,Relationship Status: just tried to reach for my dog's paw and he pulled it away so I pretended I was reaching for the remote.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,"I was struggling to figure out how lightning works, but then it struck me.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I walked into a bar once. ... It really hurt my head.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I WRITE MY JOKES IN CAPITALS. ... THIS ONE WAS WRITTEN IN PARIS.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Why does Beyonce sing ""to the left, to the left""? ... Because women don't have rights.",FALSE,FALSE,TRUE,FALSE,en
Pun,twopart,Do you know what killed the man who had a two ton pumpkin fall on him? ... He was squashed.,FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,What says Oh Oh Oh? ... Santa walking backwards!,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Went to the doctors for a prostate exam.
During the exam he said it's not unusual to become aroused or even ejaculate. ... But still, I wish he hadn't.",TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why is 6 afraid of 7 in hexadecimal Canada? ... Because 7 8 9 A?,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Documentation is like sex:
When it's good, it's very good.
When it's bad, it's better than nothing...",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,I was walking down the street and saw some black guy on a bike and it looked just like mine so I ran home to check. ... Thankfully he was still chained up in my basement.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"How did Harry Potter get down the hill? ... Walking...
JK, Rolling.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Everyone says that Hitler really loved animals. ... Then why did he kill 6 million of them?,FALSE,FALSE,FALSE,FALSE,en
Dark,single,I was going to tell a dead baby joke. But I decided to abort.,FALSE,FALSE,FALSE,FALSE,en
Spooky,twopart,Why did the ghost go inside the bar? ... For the boos.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"Muslim women are horrible competitors. ... No matter what they do, they always get beat.",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,The KKK isn't really that racist. ... I went to one of their meetings and there were a lot of black people hanging around.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What do you call a bird sitting with their legs spread? ... A prostitweety.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What do Ted Bundy and the Space Shuttle Columbia have in common? ... They both left bodies in four states.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"Which is faster, Hot or cold? ... Hot, because you can catch a cold",FALSE,FALSE,FALSE,TRUE,en
Misc,single,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What did the fish say when it swam into the wall? ... Dam.,FALSE,FALSE,FALSE,FALSE,en
Christmas,twopart,What kind of motorbike does Santa ride? ... A Holly Davidson!,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do programmers prefer using the dark mode? ... Because light attracts bugs.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?""",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,"How many Jews can you fit into a car? ... Two in the front, three in the back, and a hundred in the ashtray.",FALSE,FALSE,FALSE,FALSE,en
Dark,single,"My girlfriend's dog died, so I tried to cheer her up by getting her an identical one. It just made her more upset. She screamed at me, ""What am I supposed to do with two dead dogs?""",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,"Hey, wanna hear a joke? ... Parsing HTML with regex.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My grandfather says I'm too reliant on technology.
I called him a hypocrite and unplugged his life support.",FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I have a joke about trickle down economics, but 99% of you will never get it.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them.",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the functional programmer get thrown out of school? ... Because he refused to take classes.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between an in-law and an outlaw? ... An outlaw is wanted.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Why did the chicken cross the road, roll in the mud and cross the road again? ... He was a dirty double-crosser!",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,How will Christmas dinner be different after Brexit? ... No Brussels!,FALSE,TRUE,FALSE,FALSE,en
Pun,single,I'm reading a book about anti-gravity. It's impossible to put down!,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's green and smells like pork? ... Kermit's Fingers.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,How do construction workers party? ... They raise the roof.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"Muslim women are horrible competitors. ... No matter what they do, they always get beat.",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the programmer quit his job? ... Because he didn't get arrays.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why is Linux safe? ... Hackers peak through Windows only.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What is the difference between an oral thermometer and a rectal thermometer? ... The taste.,TRUE,FALSE,FALSE,FALSE,en
Misc,single,Never date a baker. They're too kneady.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,why do python programmers wear glasses? ... Because they can't C.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why should you never talk to pi? ... Because it will go on forever.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What does tofu and a dildo have in common? ... They're both meat substitutes.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,"What did one necrophiliac tell the other necrophiliac after work? ... ""Let's go have a couple of cold ones!""",TRUE,FALSE,FALSE,FALSE,en
Dark,single,"My grandfather says I'm too reliant on technology.
I called him a hypocrite and unplugged his life support.",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,why do python programmers wear glasses? ... Because they can't C.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why don't jews eat pussy? ... It's too close to the gas chamber.,TRUE,FALSE,FALSE,FALSE,en
Misc,single,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,Why was the river rich? ... Because it had two banks.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,Relationship Status: just tried to reach for my dog's paw and he pulled it away so I pretended I was reaching for the remote.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,So what's a set of predefined steps the government might take to preserve the environment? ... An Al-Gore-ithm.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What did the cannibal do after he dumped his girlfriend? ... He wiped his ass.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,What do Asian people call fingers? ... Limb Limbs.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Programming,single,"// This line doesn't actually do anything, but the code stops working when I delete it.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What's the most notable similarity between a pedophile and a roller coaster? ... They both make a child scream, but the first ride's never the last",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between Harry Potter and the jews? ... Harry escaped the chamber.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What's the difference between a poorly dressed man on a unicycle and a well dressed man on a bicycle? ... Attire.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What's grey and comes in pints? ... An elephant.,TRUE,FALSE,FALSE,FALSE,en
Spooky,twopart,What happened to the cannibal who showed up late to Halloween dinner? ... They gave him the cold shoulder.,TRUE,FALSE,FALSE,FALSE,en
Misc,single,"In Soviet Russia, gay sex gets you arrested. In America, getting arrested gets you gay sex.",TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why are modern programming languages so materialistic? ... Because they are object-oriented.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the crime in the parking garage? ... It was wrong on so many levels.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,How do you keep black people out of your back yard? ... Hang one in the front!,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,I walked into a bar once. ... It really hurt my head.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the JavaScript heap close shop? ... It ran out of memory.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why does the size of the snack not matter to a giraffe? ... Because even a little bit goes a long way.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,I'm not saying my son is ugly... ... But on Halloween he went to tell the neighbors to turn down their TV and they gave him some candy.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between an in-law and an outlaw? ... An outlaw is wanted.,FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,"Why did Santa's helper see the doctor? ... Because he had a low ""elf"" esteem!",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you get if you lock a monkey in a room with a typewriter for 8 hours? ... A regular expression.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Went to the doctors for a prostate exam.
During the exam he said it's not unusual to become aroused or even ejaculate. ... But still, I wish he hadn't.",TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,Why was the river rich? ... Because it had two banks.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Why shouldn't you visit an expensive wig shop? ... It's too high a price ""toupee.""",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you get if you lock a monkey in a room with a typewriter for 8 hours? ... A regular expression.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between England and a tea bag? ... The tea bag stays in the cup longer.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,I'd tell you a joke about NAT but I would have to translate.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What part of a vegetable are you not supposed to eat? ... The wheelchair.,FALSE,FALSE,FALSE,FALSE,en
Dark,single,"Nowadays people are so sensitive, you can't even say ""black paint"" anymore.
Instead, you have to say ""Jamal, please paint the fence"".",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What happens when you don't obey the KGB? ... You get Putin jail.,FALSE,TRUE,FALSE,FALSE,en
Dark,single,"My grandfather says I'm too reliant on technology.
I called him a hypocrite and unplugged his life support.",FALSE,FALSE,FALSE,FALSE,en
Misc,single,Schrödinger's cat walks into a bar and doesn't.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How can you tell an extroverted programmer? ... He looks at YOUR shoes when he's talking.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why should you never talk to pi? ... Because it will go on forever.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word!",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between a gay guy and a refrigerator? ... A refrigerator doesn't fart when I pull my meat out of it.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,Why are Americans bad at Dota? ... They can't protect their towers.,FALSE,TRUE,FALSE,FALSE,en
Spooky,twopart,Why do ghosts go on diets? ... So they can keep their ghoulish figures.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's yellow and can't swim? ... A bus full of children.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"// This line doesn't actually do anything, but the code stops working when I delete it.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Mickey Mouse and Minnie Mouse are in the divorce court.
""Mickey"", the judge says, ""I'm sorry. I can't grant you a divorce on the grounds of insanity. Minnie seems quite sane to me."" ... ""I didn't say she was insane"", exclaims Mickey.
""I said she was fucking Goofy.""",TRUE,FALSE,FALSE,FALSE,en
Programming,single,"ASCII silly question, get a silly ANSI.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I just saw my wife trip over and drop a basket full of ironed clothes. ... I watched it all unfold.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"The past, the present and the future walk into a bar. ... It was tense.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How did the programmer die in the shower? ... He read the shampoo bottle instructions: Lather. Rinse. Repeat.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Programming,single,UDP is better in the COVID era since it avoids unnecessary handshakes.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"A perfectionist walked into a bar... apparently, the bar was not set high enough.",FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,Why do ghosts go on diets? ... So they can keep their ghoulish figures.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the crime in the parking garage? ... It was wrong on so many levels.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"My wife left me because I'm too insecure and paranoid. ... Oh wait, never mind. She was just getting the mail.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"Me and my Jewish friend were eating lunch and I farted. He got mad so I said ""cmon man a little gas never killed anyone"".",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Thank you student loans for getting me through college. ... I don't think I'll ever be able to repay you.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"My employer came running to me and said, ""I was looking for you all day! Where the hell have you been?"" ... I replied, ""Good employees are hard to find.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"Muslim women are horrible competitors. ... No matter what they do, they always get beat.",FALSE,FALSE,FALSE,FALSE,en
Pun,single,I'm reading a book about anti-gravity. It's impossible to put down!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between Jesus and a hooker? ... The look on their face when you are nailing them.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a pile of kittens? ... A meowntain.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,How do Rednecks celebrate Halloween? ... Pump kin!,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"The past, the present and the future walk into a bar. ... It was tense.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a little girl and a fridge? ... Fridges don't scream when you put your meat in them.,TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the programmer jump on the table? ... Because debug was on his screen.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I like my girls how I like my COVID. ... 19 and easily spread.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a cheap circumcision? ... A rip off.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,What do you call a bird sitting with their legs spread? ... A prostitweety.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"I won the lottery today! ... Well, I only got the first two numbers, but my lawyers are working on having them stop the count.",FALSE,TRUE,FALSE,FALSE,en
Dark,twopart,My wife divorced me so I stole her wheelchair. ... Guess who came crawling back.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?""",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,Why are cats so good at video games? ... They have nine lives.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,What's it like to be kissed by a vampire? ... It's a pain in the neck.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"How did Harry Potter get down the hill? ... Walking...
JK, Rolling.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you call a developer who doesn't comment code? ... A developer.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"How many Jews can you fit into a car? ... Two in the front, three in the back, and a hundred in the ashtray.",FALSE,FALSE,FALSE,FALSE,en
Christmas,twopart,Whats the Grinchs least favorite band? ... The Who.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"How many nice guys does it take to change a lightbulb? ... None, they'll just compliment it and get pissed off when it won't screw.",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,I walked into a bar once. ... It really hurt my head.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I WRITE MY JOKES IN CAPITALS. ... THIS ONE WAS WRITTEN IN PARIS.,FALSE,FALSE,FALSE,TRUE,en
